,0th pos,1st pos,2nd pos,3rd pos,4th pos,5th pos,6th pos,7th pos,8th pos,Move_Pos
452,2,0,0,0,1,0,1,0,0,2
453,2,0,2,0,1,0,1,0,0,1
454,2,1,2,0,1,0,1,0,0,7
455,2,1,2,0,1,0,1,2,0,5
456,2,1,2,0,1,1,1,2,0,3
457,2,1,2,2,1,1,1,2,0,8
458,0,0,0,0,0,0,0,0,0,4
459,0,0,0,0,1,0,0,0,0,0
460,2,0,0,0,1,0,0,0,0,2
461,2,0,1,0,1,0,0,0,0,6
462,2,0,1,0,1,0,2,0,0,3
463,2,0,1,1,1,0,2,0,0,5
464,2,0,1,1,1,2,2,0,0,1
465,2,1,1,1,1,2,2,0,0,7
466,2,1,1,1,1,2,2,2,0,8
467,0,0,0,0,0,0,0,0,0,0
468,1,0,0,0,0,0,0,0,0,4
469,1,0,0,0,2,0,0,0,0,2
470,1,0,1,0,2,0,0,0,0,1
471,1,2,1,0,2,0,0,0,0,7
472,1,2,1,0,2,0,0,1,0,5
473,1,2,1,0,2,2,0,1,0,3
474,1,2,1,1,2,2,0,1,0,6
475,1,2,1,1,2,2,2,1,0,8
476,0,0,0,0,0,0,0,0,0,6
477,0,0,0,0,0,0,1,0,0,4
478,0,0,0,0,2,0,1,0,0,0
479,1,0,0,0,2,0,1,0,0,3
480,1,0,0,2,2,0,1,0,0,1
481,1,1,0,2,2,0,1,0,0,2
482,1,1,2,2,2,0,1,0,0,5
483,1,1,2,2,2,1,1,0,0,7
484,1,1,2,2,2,1,1,2,0,8
485,0,0,0,0,0,0,0,0,0,8
486,0,0,0,0,0,0,0,0,1,0
487,2,0,0,0,0,0,0,0,1,2
488,2,0,1,0,0,0,0,0,1,6
489,2,0,1,0,0,0,2,0,1,3
490,2,0,1,1,0,0,2,0,1,5
491,2,0,1,1,0,2,2,0,1,1
492,2,1,1,1,0,2,2,0,1,7
493,2,1,1,1,0,2,2,2,1,4
494,0,0,0,0,0,0,0,0,0,2
495,0,0,1,0,0,0,0,0,0,0
496,2,0,1,0,0,0,0,0,0,6
497,2,0,1,0,0,0,1,0,0,4
498,2,0,1,0,2,0,1,0,0,8
499,2,0,1,0,2,0,1,0,1,5
500,2,0,1,0,2,2,1,0,1,3
501,2,0,1,1,2,2,1,0,1,7
502,2,0,1,1,2,2,1,2,1,1
503,0,0,0,0,0,0,0,0,0,2
504,0,0,1,0,0,0,0,0,0,0
505,2,0,1,0,0,0,0,0,0,6
506,2,0,1,0,0,0,1,0,0,4
507,2,0,1,0,2,0,1,0,0,8
508,2,0,1,0,2,0,1,0,1,5
509,2,0,1,0,2,2,1,0,1,3
510,2,0,1,1,2,2,1,0,1,7
511,2,0,1,1,2,2,1,2,1,1
512,0,0,0,0,0,0,0,0,0,2
513,0,0,1,0,0,0,0,0,0,4
514,0,0,1,0,2,0,0,0,0,1
515,0,1,1,0,2,0,0,0,0,0
516,2,1,1,0,2,0,0,0,0,8
517,2,1,1,0,2,0,0,0,1,3
518,2,1,1,2,2,0,0,0,1,5
519,0,0,0,0,0,0,0,0,0,4
520,0,0,0,0,1,0,0,0,0,0
521,2,0,0,0,1,0,0,0,0,1
522,2,1,0,0,1,0,0,0,0,7
523,2,1,0,0,1,0,0,2,0,6
524,2,1,0,0,1,0,1,2,0,2
525,2,1,2,0,1,0,1,2,0,3
526,2,1,2,1,1,0,1,2,0,5
527,2,1,2,1,1,2,1,2,0,8
528,0,0,0,0,0,0,0,0,0,1
529,0,1,0,0,0,0,0,0,0,4
530,0,1,0,0,2,0,0,0,0,0
531,1,1,0,0,2,0,0,0,0,2
532,1,1,2,0,2,0,0,0,0,6
533,1,1,2,0,2,0,1,0,0,3
534,1,1,2,2,2,0,1,0,0,5
535,1,1,2,2,2,1,1,0,0,7
536,1,1,2,2,2,1,1,2,0,8
537,0,0,0,0,0,0,0,0,0,4
538,0,0,0,0,1,0,0,0,0,0
539,2,0,0,0,1,0,0,0,0,6
540,2,0,0,0,1,0,1,0,0,2
541,2,0,2,0,1,0,1,0,0,1
542,2,1,2,0,1,0,1,0,0,7
543,2,1,2,0,1,0,1,2,0,3
544,2,1,2,1,1,0,1,2,0,5
545,2,1,2,1,1,2,1,2,0,8
546,0,0,0,0,0,0,0,0,0,4
547,0,0,0,0,1,0,0,0,0,0
548,2,0,0,0,1,0,0,0,0,1
549,2,1,0,0,1,0,0,0,0,7
550,2,1,0,0,1,0,0,2,0,3
551,2,1,0,1,1,0,0,2,0,5
552,2,1,0,1,1,2,0,2,0,6
553,2,1,0,1,1,2,1,2,0,2
554,2,1,2,1,1,2,1,2,0,8
555,0,0,0,0,0,0,0,0,0,0
556,1,0,0,0,0,0,0,0,0,4
557,1,0,0,0,2,0,0,0,0,2
558,1,0,1,0,2,0,0,0,0,1
559,1,2,1,0,2,0,0,0,0,7
560,1,2,1,0,2,0,0,1,0,3
561,1,2,1,2,2,0,0,1,0,5
562,1,2,1,2,2,1,0,1,0,8
563,1,2,1,2,2,1,0,1,2,6
564,0,0,0,0,0,0,0,0,0,6
565,0,0,0,0,0,0,1,0,0,0
566,2,0,0,0,0,0,1,0,0,4
567,2,0,0,0,1,0,1,0,0,2
568,2,0,2,0,1,0,1,0,0,1
569,2,1,2,0,1,0,1,0,0,7
570,2,1,2,0,1,0,1,2,0,5
571,2,1,2,0,1,1,1,2,0,3
572,2,1,2,2,1,1,1,2,0,8
573,0,0,0,0,0,0,0,0,0,0
574,1,0,0,0,0,0,0,0,0,4
575,1,0,0,0,2,0,0,0,0,2
576,1,0,1,0,2,0,0,0,0,1
577,1,2,1,0,2,0,0,0,0,7
578,1,2,1,0,2,0,0,1,0,5
579,1,2,1,0,2,2,0,1,0,3
580,1,2,1,1,2,2,0,1,0,6
581,1,2,1,1,2,2,2,1,0,8
582,0,0,0,0,0,0,0,0,0,4
583,0,0,0,0,1,0,0,0,0,0
584,2,0,0,0,1,0,0,0,0,2
585,2,0,1,0,1,0,0,0,0,6
586,2,0,1,0,1,0,2,0,0,3
587,2,0,1,1,1,0,2,0,0,5
588,2,0,1,1,1,2,2,0,0,7
589,2,0,1,1,1,2,2,1,0,1
590,2,2,1,1,1,2,2,1,0,8
591,0,0,0,0,0,0,0,0,0,3
592,0,0,0,1,0,0,0,0,0,4
593,0,0,0,1,2,0,0,0,0,6
594,0,0,0,1,2,0,1,0,0,0
595,2,0,0,1,2,0,1,0,0,8
596,2,0,0,1,2,0,1,0,1,1
597,2,2,0,1,2,0,1,0,1,2
598,2,2,1,1,2,0,1,0,1,7
599,0,0,0,0,0,0,0,0,0,5
600,0,0,0,0,0,1,0,0,0,0
601,2,0,0,0,0,1,0,0,0,1
602,2,1,0,0,0,1,0,0,0,4
603,2,1,0,0,2,1,0,0,0,8
604,2,1,0,0,2,1,0,0,1,6
605,2,1,0,0,2,1,2,0,1,3
606,2,1,0,1,2,1,2,0,1,2
607,0,0,0,0,0,0,0,0,0,2
608,0,0,1,0,0,0,0,0,0,0
609,2,0,1,0,0,0,0,0,0,4
610,2,0,1,0,1,0,0,0,0,6
611,2,0,1,0,1,0,2,0,0,3
612,2,0,1,1,1,0,2,0,0,5
613,2,0,1,1,1,2,2,0,0,1
614,2,1,1,1,1,2,2,0,0,7
615,2,1,1,1,1,2,2,2,0,8
616,0,0,0,0,0,0,0,0,0,0
617,1,0,0,0,0,0,0,0,0,4
618,1,0,0,0,2,0,0,0,0,6
619,1,0,0,0,2,0,1,0,0,3
620,1,0,0,2,2,0,1,0,0,1
621,1,1,0,2,2,0,1,0,0,2
622,1,1,2,2,2,0,1,0,0,5
